pdb_id,split,component_id,n_chains,n_clusters,clusters
8ox4,train,17,2,2,6lcr__A;7vgi__A
8ox5,train,17,2,2,6lcr__A;7vgi__A
8ox6,train,17,2,2,7vgi__A;8ox6__A
8ox7,train,17,2,2,6lcr__A;7vgi__A
8ox8,train,17,2,2,6lcr__A;7vgi__A
8ox9,train,17,2,2,6lcr__A;7vgi__A
8oxa,train,17,2,2,6lcr__A;7vgi__A
8oxb,train,17,2,2,6lcr__A;7vgi__A
8oxc,train,17,2,2,6lcr__A;7vgi__A
8oyd,train,415,2,1,8oyd__B
8oyi,train,39,9,3,1yew__A;4phz__B;7s4m__G
8p12,train,0,4,4,7ad3__F;7l0p__G;7ys6__B;8y01__R
8p1i,train,0,3,1,7cz9__C
8p1u,train,150,5,5,8bh1__D;8p1u__B;8p1u__D;8p1u__E;8tj3__B
8p2w,train,0,2,2,5i6x__A;8p2z__A
8p2x,train,0,4,2,5i6x__A;7v61__B
8p2y,train,0,4,2,5i6x__A;7v61__B
8p2z,train,0,2,2,5i6x__A;8p2z__A
8p30,train,0,4,2,5i6x__A;7v61__B
8p31,train,0,4,2,5i6x__A;7v61__B
8p3o,train,214,8,1,8bhw__A
8p3p,train,214,8,1,8bhw__A
8p3q,train,0,7,2,5kk2__F;8e93__D
8p3s,train,0,8,2,5kk2__F;8e93__D
8p3t,train,0,8,2,5kk2__F;8e93__D
8p3u,train,0,8,2,5kk2__F;8e93__D
8p3v,train,0,8,2,5kk2__F;8e93__D
8p3w,train,0,8,2,5kk2__F;8e93__D
8p3x,train,0,8,2,5kk2__F;8e93__D
8p3y,train,0,7,2,5kk2__F;8e93__D
8p3z,train,0,7,2,5kk2__F;8e93__D
8p65,train,0,22,11,1l0l__H;1l0l__I;1sqq__K;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
8p7w,train,0,2,1,8bi0__B
8p8a,train,0,2,1,8bi0__B
8p8j,train,0,2,1,8bi0__B
8pbz,train,414,4,2,8pbz__D;8pbz__E
8pcz,train,53,2,1,8pd2__A
8pd8,train,53,2,1,8pd2__A
8pdu,train,53,2,1,8pd2__A
8piv,train,0,8,2,5kk2__F;8e93__D
8pjk,train,0,4,4,7ad3__F;7jvp__R;7ys6__B;8ddx__J
8pkm,train,0,4,4,7ad3__F;7jvp__R;7ys6__B;8ddx__J
8pm2,train,0,4,4,7ad3__F;7jvp__R;7ys6__B;8ddx__J
8pn9,train,0,8,8,2lat__A;6s7o__C;6s7o__D;6s7o__G;6s7t__A;8b6l__J;8pn9__E;8pn9__F
8pnu,train,291,3,1,8pnu__A
8pnv,train,291,3,1,8pnu__A
8poe,train,158,3,1,8poe__A
8pok,train,0,4,4,7ad3__F;7jvp__R;7ys6__B;8ddx__J
8poo,train,114,2,1,5but__I
8ps0,train,129,2,1,4atv__A
8pvb,train,0,5,1,6x3s__E
8pvr,train,413,2,1,8pvr__A
8px7,train,0,3,1,7cz9__C
8px9,train,197,2,1,4pl0__B
8pxo,train,0,2,1,8bi0__B
8py4,train,0,2,1,8bi0__B
8pyv,train,20,3,1,6ssw__B
8q0a,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q0f,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q0j,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__Y;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8qby__C;8qby__F;8xo0__R
8q0m,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q0o,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q0q,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__Y;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8qby__C;8qby__F;8xo0__R
8q1b,train,0,32,22,1ezv__B;1fft__A;1occ__B;3cwb__C;3cx5__D;3cx5__G;6t0b__r;7jrg__A;7jrg__H;7jro__c;7rja__F;8ab6__I;8asi__E;8q1b__U;8q1b__f;8q1b__g;8q1b__h;8q1b__i;8q1b__j;8q1b__k;8q1b__l;8ucj__d
8q1p,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q1u,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q1y,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q25,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q3v,train,412,21,7,8q3v__A;8q3v__B;8q3v__C;8q3v__D;8q3v__E;8q3v__F;8q3v__g
8q45,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q46,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q47,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q48,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q49,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q4a,train,0,43,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8q4h,train,411,4,2,8q4h__B;8q4h__D
8q7b,train,0,2,1,8bi0__B
8q8p,train,94,5,1,8ts1__A
8q8q,train,94,5,1,8ts1__A
8q9z,val,10,6,1,8iyg__A
8qa0,val,10,6,1,8iyg__A
8qa1,val,10,6,1,8iyg__A
8qa2,val,10,6,1,8iyg__A
8qa3,val,10,6,1,8iyg__A
8qb4,train,0,3,1,9bh0__A
8qb5,train,0,3,1,9bh0__A
8qby,train,0,18,18,5lnk__A;6l7o__B;6rfq__1;6u8y__l;7a23__a;7ar7__M;7ard__I;7zm7__H;7zm7__K;7zmb__L;8ba0__G;8qby__C;8qby__F;8qby__J;8qby__Q;8qby__R;8qby__q;8qby__t
8qc1,train,0,2,2,7a23__a;7ar7__M
8qcm,train,0,2,1,8bi0__B
8qey,train,21,2,2,6jmq__A;7dsk__A
8qj2,train,0,5,5,7ad3__F;7jvp__R;7ys6__B;8ddx__J;8qj2__D
8qj3,train,15,3,1,2b2f__A
8qj4,train,15,3,1,2b2f__A
8qjf,val,10,6,1,8iyg__A
8qjh,val,10,6,1,8iyg__A
8qk6,val,10,6,1,8iyg__A
8qki,val,10,6,1,8iyg__A
8qko,val,10,5,1,8iyg__A
8qoe,test,4,2,1,7zo8__A
8qof,train,30,8,4,7yjk__A;8c80__A;8c80__D;8c81__C
8qog,train,30,4,4,7yjk__A;8c80__A;8c80__D;8c81__C
8qoj,val,10,6,1,8iyg__A
8qpf,train,15,3,1,2b2f__A
8qqk,train,0,4,4,1fft__A;6kob__B;6kob__C;6wti__D
8qql,train,0,4,1,2qks__A
8qqm,train,410,5,1,8qqm__E
8qqz,train,36,5,1,7ytb__B
8qr0,train,36,5,1,7ytb__B
8qro,train,0,3,1,9bh0__A
8qsk,train,210,2,1,8qsk__A
8qsl,train,210,2,1,8qsk__A
8qsr,train,192,2,1,8qsr__A
8qst,train,192,2,1,8qsr__A
8qtn,train,170,4,2,8izd__A;8qtn__C
8qtr,train,170,3,2,8izd__A;8qtn__C
8quc,val,6,4,1,5wie__B
8qud,val,6,4,1,5wie__B
8qvn,val,10,6,1,8iyg__A
8qz1,val,12,2,1,6cq6__B
8qz2,val,12,2,1,6cq6__B
8qz3,val,12,2,1,6cq6__B
8qz4,val,12,2,1,6cq6__B
8qz6,train,239,2,1,8qz7__A
8qz7,train,239,2,1,8qz7__A
8qzc,train,35,2,1,5oyb__A
8qzl,train,0,3,1,7cz9__C
8qzq,train,0,3,1,7cz9__C
8qzt,train,0,3,1,7cz9__C
8r2i,train,0,11,11,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;8c29__V;8kde__D;8r2i__2
8r33,train,238,2,1,8r33__A
8r34,train,238,2,1,8r33__A
8r35,train,238,2,1,8r33__A
8r7p,val,10,6,1,8iyg__A
8r7q,val,10,6,1,8iyg__A
8r8q,train,409,2,2,8r8q__A;8r8q__B
8r96,train,237,5,1,8r96__B
8r97,train,237,5,1,8r96__B
8r98,train,237,5,1,8r96__B
8rb8,train,34,7,7,7zc6__C;7zc6__D;7zc6__G;8ahx__A;8ahx__B;8ahx__H;9eri__E
8rb9,train,34,7,7,7zc6__C;7zc6__D;7zc6__G;8ahx__A;8ahx__B;8ahx__H;9eri__E
8rbm,train,34,7,7,7zc6__C;7zc6__D;7zc6__G;8ahx__A;8rbm__B;8rbm__b;9eri__E
8rbq,train,34,7,7,7zc6__C;7zc6__D;7zc6__G;8ahx__A;8ahx__B;8ahx__H;9eri__E
8rcr,train,349,4,1,8rcr__A
8rez,test,4,2,1,7zo8__A
8rf1,test,4,2,1,7zo8__A
8rg7,test,4,2,1,7zo8__A
8rga,test,4,2,1,7zo8__A
8rgn,test,4,2,1,7zo8__A
8rgp,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8rgq,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8rgr,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8rgt,train,0,41,41,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7b93__J;7b93__V;7b93__Z;7b93__n;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
8rh4,train,0,5,1,6x3s__E
8rh7,train,0,5,1,6x3s__E
8rh8,train,0,5,1,6x3s__E
8rh9,train,0,5,1,6x3s__E
8rhg,train,0,5,1,6x3s__E
8ri1,test,4,2,1,7zo8__A
8ria,test,4,2,1,7zo8__A
8rmk,train,0,11,1,6ytv__A
8rml,train,0,11,1,6ytv__A
8rmm,train,0,14,2,5eul__V;6ytv__A
8rmn,train,0,10,1,6ytv__A
8rq5,train,36,5,1,7ytb__B
8rqf,train,242,2,2,7vad__A;8hrx__B
8rql,train,0,4,4,7ad3__F;7ys6__B;8ddx__J;8xqp__R
8rrh,train,408,11,1,8rrh__A
8rt9,train,154,10,2,8rt9__A;8rt9__F
8rtb,train,154,9,5,7o41__C;7oiu__D;8rtb__J;8rtd__T;8rtd__a
8rtd,train,154,34,14,7o41__C;7oiu__D;8rt9__A;8rt9__F;8rtd__D;8rtd__G;8rtd__T;8rtd__U;8rtd__Z;8rtd__a;8rtd__c;8rtd__e;8rtd__h;8rtd__i
8s3e,train,26,8,2,6v35__A;8s3e__E
8s6j,val,9,4,1,4bgn__A
8s8z,train,0,8,1,6ytv__A
8s90,train,0,8,1,6ytv__A
8s9b,train,0,3,3,5xsy__B;7dtd__B;8vyj__A
8s9c,train,0,3,3,5xsy__B;7dtd__B;8vyj__A
8sai,train,0,5,5,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J
8scx,train,300,3,3,8scx__A;8scx__B;8scx__C
8sd3,train,110,4,1,8sd3__A
8sda,train,110,4,1,8sd3__A
8seu,train,108,4,1,8sex__A
8sev,train,108,4,1,8sex__A
8sew,train,108,4,1,8sex__A
8sex,train,108,4,1,8sex__A
8sey,train,108,4,1,8sex__A
8sez,train,108,4,1,8sex__A
8sf0,train,108,4,1,8sex__A
8sg1,train,0,5,5,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J
8sgo,train,0,5,1,6x3s__E
8sgw,train,22,2,1,8opq__B
8sh3,train,22,2,1,8opq__B
8shc,train,22,2,1,8opq__B
8si2,train,0,4,1,9jje__A
8si3,train,0,4,1,9jje__A
8si4,train,0,4,1,9jje__A
8si5,train,0,4,1,9jje__A
8si6,train,0,4,1,9jje__A
8si7,train,0,4,1,9jje__A
8si8,train,0,4,1,9jje__A
8si9,train,0,5,1,6x3s__E
8sia,train,0,4,1,9jje__A
8sid,train,0,5,1,6x3s__E
8sie,train,22,2,1,8opq__B
8sik,train,0,8,2,6e2f__E;7cr7__A
8sim,train,0,8,2,6e2f__E;7cr7__A
8sin,train,0,8,2,6e2f__E;7cr7__A
8sjx,train,0,4,1,5i32__A
8sjy,train,0,4,1,5i32__A
8sl3,train,0,3,3,7ad3__F;8ddx__J;8sl3__A
8sl4,train,0,2,1,7pde__A
8sl6,train,0,4,1,9jje__A
8sl8,train,0,4,1,9jje__A
8sla,train,0,4,1,9jje__A
8sle,train,0,4,1,9jje__A
8sli,train,0,4,1,9jje__A
8slp,train,0,4,1,9jje__A
8slq,train,0,4,1,9jje__A
8slw,train,0,4,1,9jje__A
8slx,train,0,4,1,6u84__A
8sly,train,0,4,1,6u84__A
8smr,train,0,13,8,3cwb__C;6xkw__p;8asi__E;8smr__E;8smr__F;8smr__J;8smr__K;8smr__L
8smv,train,0,4,4,7ad3__F;7ys6__B;8ddx__J;8kh4__A
8snh,train,0,13,8,3cwb__C;6xkw__p;8asi__E;8smr__E;8smr__F;8smr__J;8smr__K;8smr__L
8snl,train,171,2,2,8snl__A;8snl__B
8snm,train,171,3,3,8esv__A;8snl__B;8snm__A
8snn,train,171,2,2,8snl__B;8sno__A
8sno,train,171,2,2,8snl__B;8sno__A
8sq0,train,0,2,1,8wi0__A
8sqn,train,0,9,3,6nk6__M;8dan__A;8dan__B
8sqw,train,39,9,3,1yew__A;4phz__B;7s4m__G
8sr1,train,39,9,3,1yew__A;4phz__B;7s4m__G
8sr2,train,39,9,3,1yew__A;4phz__B;7s4m__G
8sr4,train,39,9,3,1yew__A;4phz__B;7s4m__G
8sr5,train,39,9,3,1yew__A;4phz__B;7t4o__C
8sr7,train,86,4,1,8src__A
8sr8,train,86,4,1,8src__A
8sr9,train,86,4,1,8src__A
8sra,train,86,4,1,8src__A
8srb,train,86,4,1,8src__A
8src,train,86,4,1,8src__A
8srd,train,86,4,1,8src__A
8sre,train,86,4,1,8src__A
8srf,train,86,4,1,8src__A
8srg,train,86,4,1,8src__A
8srh,train,86,4,1,8src__A
8sri,train,86,4,1,8src__A
8srj,train,290,4,1,8srj__A
8srk,train,290,4,1,8srj__A
8srn,train,407,2,1,8srn__A
8ss2,train,0,6,3,6xsr__A;7oca__G;7rz4__A
8ss3,train,0,6,3,7oca__G;7ryz__C;8e93__D
8ss4,train,0,6,3,7oca__G;7ryz__C;8e93__D
8ss5,train,0,4,2,7ryz__C;8e93__D
8ss6,train,0,6,3,6xsr__A;7oca__G;7rz4__A
8ss7,train,0,6,3,7oca__G;7ryz__C;8e93__D
8ss8,train,0,4,2,6xsr__A;7rz4__A
8ss9,train,0,4,2,7ryz__C;8e93__D
8ssa,train,0,6,2,7oca__G;7rz4__A
8ssb,train,0,6,3,7oca__G;7ryz__C;8e93__D
8ssz,test,5,5,1,7ekp__A
8st0,test,5,5,1,7ekp__A
8st1,test,5,5,1,7ekp__A
8st2,test,5,5,1,7ekp__A
8st3,test,5,5,1,7ekp__A
8st4,test,5,5,1,7ekp__A
8sun,train,35,2,1,5oyb__A
8sur,train,35,2,1,5oyb__A
8suz,train,249,5,1,7k3g__A
8sza,train,172,6,1,8cqr__E
8szb,train,172,6,1,8cqr__E
8szc,test,4,2,2,3qf4__A;8fpf__D
8szf,train,0,2,1,9ii2__R
8szg,train,0,5,4,7ad3__F;7ys6__B;8ddx__J;9ii2__R
8szh,train,0,5,4,7ad3__F;7ys6__B;8ddx__J;9ii2__R
8szi,train,0,5,4,7ad3__F;7ys6__B;8ddx__J;9ii2__R
8t03,train,208,2,1,8t03__A
8t04,train,208,2,1,8t03__A
8t05,train,406,2,1,8t05__B
8t06,train,208,2,1,8t03__A
8t07,train,208,2,1,8t03__A
8t0c,train,0,4,1,6u84__A
8t0e,train,0,4,1,6u84__A
8t0y,train,144,4,1,3j9j__A
8t10,train,144,4,1,3j9j__A
8t14,train,159,7,1,6sh3__A
8t1b,train,0,4,1,6u84__A
8t1d,train,0,4,1,6u84__A
8t1e,train,0,4,1,6u84__A
8t1f,train,0,4,1,6u84__A
8t1p,test,4,2,2,3qf4__A;8fpf__D
8t2v,train,299,2,2,8gcd__A;8gcd__B
8t3k,test,4,2,2,3qf4__A;8fpf__D
8t3l,train,144,4,1,3j9j__A
8t3m,train,144,4,1,3j9j__A
8t3o,train,0,4,4,7ad3__F;7ys6__B;8ddx__J;8h4l__R
8t3q,train,0,4,4,7ad3__F;7ys6__B;8ddx__J;8h4l__R
8t3r,train,0,2,1,8jni__A
8t3s,train,0,4,4,7ad3__F;7ys6__B;8ddx__J;8t3s__R
8t3u,train,0,2,1,8jni__A
8t3v,train,0,4,4,7ad3__F;7ys6__B;8ddx__J;8t3s__R
8t44,train,0,2,1,8jni__A
8t45,train,0,2,1,8jni__A
8t46,train,125,2,1,5u1d__B
8t47,train,0,2,1,8jni__A
8t4e,train,125,2,1,5u1d__B
8t4f,train,125,2,1,5u1d__B
8t4g,train,125,2,1,5u1d__B
8t4h,train,125,2,1,5u1d__B
8t4i,train,125,2,1,5u1d__B
8t4j,train,125,2,1,5u1d__B
8t4m,train,46,4,1,8t4m__D
8t4y,train,46,4,1,8t4m__D
8t50,train,46,4,1,8t4m__D
8t53,train,405,2,1,8t53__B
8t56,train,32,3,2,8t56__C;8xs0__B
8t57,train,404,2,1,8t57__B
8t6j,train,0,2,1,9ii2__R
8t6u,train,0,2,1,8jni__A
8t6v,train,0,2,1,8jni__A
8t7h,train,0,4,2,5eul__V;9ii2__R
8t7u,train,159,7,1,6sh3__A
8t8m,train,0,4,2,5eul__V;9ii2__R
8ta2,train,45,2,1,6qv6__B
8ta3,train,45,2,1,6qv6__B
8ta4,train,61,2,1,8ta4__A
8ta5,train,61,2,1,8ta4__A
8tag,train,35,2,1,5oyb__A
8tai,train,35,2,1,5oyb__A
8tal,train,35,2,1,5oyb__A
8tao,train,0,4,2,5eul__V;9ii2__R
